"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Jackson Ave Pub - Naperville","Weds Pub Sangria $5","Complete","Wine","Recipe","1.6664287075736017","33.32857415147203","0","0","5","100","66.67142584852796","1.6664287075736017","33.33","01/28/2026 03:27:48","","","","","","1","each","1.6664287075736017"
"Jackson Ave Pub - Naperville","Pub Sangria Red","Complete","Wine","Recipe","1.6664287075736017","13.886905896446681","0","0","12","100","86.11309410355332","1.6664287075736017","13.89","01/28/2026 03:27:15","","","","","","1","each","1.6664287075736017"
"Jackson Ave Pub - Naperville","WEDS Joel Gott 815","Complete","Wine","Recipe","2.66167192429022","40.94879883523416","0","0","6.5","100","59.05120116476584","2.66167192429022","40.95","01/28/2026 03:22:56","","","","","","1","each","2.66167192429022"
"Jackson Ave Pub - Naperville","Joel Gott 815 Cabernet","Complete","Wine","Recipe","2.66167192429022","20.47439941761708","0","0","13","100","79.52560058238292","2.66167192429022","20.47","02/27/2026 20:39:30","","","","","","6","fl oz","0.4436119873817033"
"Jackson Ave Pub - Naperville","Chalk Hill Chardonnay","Complete","Wine","Recipe","2.8390607440705","23.65883953392083","0","0","12","100","76.34116046607917","2.8390607440705","23.66","02/27/2026 20:39:30","","","","","","6","fl oz","0.4731767906784166"
"Jackson Ave Pub - Naperville","Weds H3 Cab 1/2","Complete","Wine","Recipe","2.12933753943218","38.715227989676","0","0","5.5","100","61.284772010324005","2.12933753943218","38.72","01/26/2026 20:44:34","","","","","","1","each","2.12933753943218"
"Jackson Ave Pub - Naperville","Columbia Crest H3 Cabernet","Complete","Wine","Recipe","2.12933753943218","19.357613994838","0","0","11","100","80.642386005162","2.12933753943218","19.36","02/27/2026 20:39:30","","","","","","6","fl oz","0.3548895899053633"
"Jackson Ave Pub - Naperville","Woodford Reserve","Complete","LIQUOR","Recipe","1.97802552479033","15.824204198322638","0","0","12.5","100","84.17579580167737","1.97802552479033","15.82","01/26/2026 20:39:31","","","","","","1","each","1.97802552479033"
"Jackson Ave Pub - Naperville","Three Floyds GumballHead","Complete","Draft Beer ","Recipe","1.58064516129233","21.075268817231066","0","0","7.5","100","78.92473118276892","1.58064516129233","21.08","01/19/2026 16:09:01","","","","","","1","","1.58064516129233"
"Jackson Ave Pub - Naperville","Bulleit Bourbon Honey Glaze","Complete","Food","PrepRecipe","8.29252715125534","0","0","0","0","100","0","8.29252715125534","0","01/13/2026 04:12:56","1","Weeks","2.5","cup","","1","each","3.317010860502136"
"Jackson Ave Pub - Naperville","Bistro","Complete","Food","Recipe","1.1831553819445797","0","0","0","0","100","0","1.1831553819445797","0","01/13/2026 04:11:42","","","","","","1","each","1.1831553819445797"
"Jackson Ave Pub - Naperville","Bulleit Bourbon","Complete","Burgers ","Recipe","1.450281949668075","8.057121942600416","0","0","18","100","91.9428780573996","1.450281949668075","8.06","01/13/2026 04:07:23","","","","","","1","each","1.450281949668075"
"Jackson Ave Pub - Naperville","Manhattan","Complete","COCKTAILS","Recipe","1.5377938809355327","11.829183699504098","0","0","13","100","88.1708163004959","1.5377938809355327","11.83","01/12/2026 20:45:12","","","","","","1","","1.5377938809355327"
"Jackson Ave Pub - Naperville","JAX Manhattan","Complete","LIQUOR","Recipe","3.691341548224311","36.9134154822431","0","0","10","100","63.0865845177569","3.691341548224311","36.91","01/12/2026 20:43:43","","","","","","1","each","3.691341548224311"
"Jackson Ave Pub - Naperville","Caramelized Onions","Complete","Food","PrepRecipe","3.4825083333356","0","0","0","0","100","0","3.4825083333356","0","01/12/2026 19:14:20","","","76","oz","","","","0.045822478070205265"
"Jackson Ave Pub - Naperville","Crispy Onion Strings","Complete","Food","PrepRecipe","1.5398686186075858","0","0","0","0","100","0","1.5398686186075858","0","01/12/2026 19:13:52","","","48","oz","","","","0.032080596220991374"
"Jackson Ave Pub - Naperville","Half Acre Far Star","Complete","Draft Beer ","Recipe","4.626937984502","0","0","0","0","100","0","4.626937984502","0","01/12/2026 17:42:46","","","","","","1","each","4.626937984502"
"Jackson Ave Pub - Naperville","2 Towns Cosmic Berry","Draft","Draft Beer ","Recipe","0","0","0","0","0","100","0","0","0","01/12/2026 16:03:06","","","","","","1","","0"
"Jackson Ave Pub - Naperville","Thurs Well Tequila","Complete","LIQUOR","Recipe","1.0091966963216","25.22991740804","0","0","4","100","74.77008259196","1.0091966963216","25.23","01/09/2026 04:19:02","","","","","","1","","1.0091966963216"
"Jackson Ave Pub - Naperville","Sierra Nevada Pale Ale","Complete","Draft Beer ","Recipe","1.54032258064712","0","0","0","0","100","0","1.54032258064712","0","01/09/2026 02:08:48","","","","","","1","each","1.54032258064712"
